| prod            | month           | year            | (float)sum_1_quant/sum_2_quant |
| Milk            | 10              | 1998            |      0.40186876 |
| Soap            | 11              | 1994            |      0.27719113 |
| Butter          | 10              | 1996            |      0.14271197 |
| Fruits          | 10              | 1995            |      0.13454686 |
| Fruits          | 11              | 1996            |      0.27096608 |
| Cookies         | 7               | 1995            |      0.22527798 |
| Fruits          | 7               | 1995            |      0.16695069 |
| Fruits          | 9               | 1993            |      0.06405849 |
| Milk            | 4               | 1991            |      0.06477118 |
| Pepsi           | 4               | 1997            |      0.58711565 |
| Cookies         | 6               | 1992            |      0.21465307 |
| Soap            | 12              | 1991            |      0.32245263 |
| Fruits          | 4               | 1990            |       0.1194604 |
| Bread           | 11              | 1991            |       0.2940165 |
| Eggs            | 4               | 1996            |      0.16253428 |
| Milk            | 11              | 1992            |      0.52896243 |
| Pepsi           | 9               | 1996            |      0.29886335 |
| Cookies         | 7               | 1993            |      0.74731386 |
| Pepsi           | 9               | 1992            |      0.13187972 |
| Eggs            | 2               | 1993            |     0.051186804 |
| Butter          | 7               | 1991            |      0.18296641 |
| Bread           | 5               | 1990            |      0.03602519 |
| Soap            | 4               | 1998            |      0.42011055 |
| Butter          | 8               | 1993            |      0.18721136 |
| Bread           | 11              | 1998            |     0.079573154 |
| Soap            | 10              | 1990            |      0.62000257 |
| Eggs            | 9               | 1998            |      0.28436577 |
| Fruits          | 2               | 1997            |      0.05485232 |
| Yogurt          | 1               | 1997            |      0.13060004 |
| Eggs            | 3               | 1991            |      0.19920045 |
| Cookies         | 11              | 1996            |       0.3661745 |
| Fruits          | 11              | 1990            |     0.047884498 |
| Fruits          | 5               | 1996            |      0.14369334 |
| Fruits          | 10              | 1990            |       0.1687385 |
| Milk            | 4               | 1995            |      0.26931143 |
| Butter          | 4               | 1997            |     0.090166576 |
| Butter          | 3               | 1998            |       0.2347511 |
| Yogurt          | 10              | 1990            |      0.19651794 |
| Bread           | 10              | 1997            |      0.15476997 |
| Cookies         | 10              | 1995            |       0.0979418 |
| Bread           | 9               | 1990            |      0.14558251 |
| Bread           | 1               | 1992            |       0.5628891 |
| Pepsi           | 1               | 1994            |      0.16117193 |
| Fruits          | 7               | 1991            |      0.45117116 |
| Soap            | 11              | 1992            |      0.54002523 |
| Milk            | 11              | 1990            |      0.27692574 |
| Butter          | 2               | 1993            |     0.037655417 |
| Butter          | 1               | 1996            |      0.31075785 |
| Bread           | 5               | 1996            |      0.14648885 |
| Bread           | 6               | 1993            |      0.22282393 |
| Pepsi           | 5               | 1991            |      0.21331859 |
| Pepsi           | 6               | 1990            |       0.3542579 |
| Eggs            | 9               | 1993            |      0.41919032 |
| Butter          | 11              | 1996            |      0.14249419 |
| Milk            | 10              | 1993            |      0.11390296 |
| Pepsi           | 10              | 1992            |      0.12983876 |
| Bread           | 7               | 1997            |     0.053704504 |
| Pepsi           | 3               | 1998            |      0.14575478 |
| Fruits          | 1               | 1993            |       0.3354367 |
| Pepsi           | 11              | 1993            |      0.30919898 |
| Yogurt          | 3               | 1993            |      0.19405217 |
| Coke            | 2               | 1993            |       0.2734694 |
| Yogurt          | 9               | 1993            |       0.5830703 |
| Bread           | 2               | 1997            |      0.25417256 |
| Cookies         | 12              | 1998            |        0.538198 |
| Fruits          | 8               | 1993            |      0.17816266 |
| Soap            | 3               | 1998            |       0.5798894 |
| Milk            | 1               | 1998            |      0.13937418 |
| Yogurt          | 8               | 1997            |      0.30587575 |
| Cookies         | 7               | 1997            |       0.1521359 |
| Eggs            | 1               | 1996            |      0.25381988 |
| Bread           | 3               | 1991            |      0.05639615 |
| Yogurt          | 6               | 1994            |       0.5221961 |
| Eggs            | 4               | 1991            |       0.5320388 |
| Cookies         | 1               | 1992            |      0.14112622 |
| Eggs            | 2               | 1997            |      0.16672465 |
| Fruits          | 6               | 1993            |     0.018059967 |
| Milk            | 6               | 1993            |     0.088429235 |
| Cookies         | 6               | 1996            |      0.42053002 |
| Butter          | 8               | 1994            |     0.089033656 |
| Butter          | 2               | 1997            |      0.15389575 |
| Coke            | 7               | 1998            |       0.2794785 |
| Butter          | 4               | 1990            |      0.11745335 |
| Yogurt          | 5               | 1990            |      0.23937407 |
| Butter          | 1               | 1990            |     0.049945116 |
| Fruits          | 3               | 1997            |      0.31335318 |
| Pepsi           | 8               | 1996            |     0.020189174 |
| Pepsi           | 2               | 1991            |      0.10447289 |
| Soap            | 10              | 1996            |       0.4776822 |
| Pepsi           | 2               | 1995            |      0.24198379 |
| Milk            | 7               | 1990            |       0.3661899 |
| Coke            | 7               | 1991            |      0.34750944 |
| Eggs            | 7               | 1997            |       0.1949051 |
| Cookies         | 6               | 1995            |      0.09912468 |
| Butter          | 2               | 1992            |       0.7118842 |
| Fruits          | 8               | 1990            |      0.21171749 |
| Bread           | 11              | 1992            |      0.07166101 |
| Soap            | 11              | 1997            |      0.33953646 |
| Milk            | 2               | 1996            |      0.39377314 |
| Eggs            | 5               | 1990            |      0.15433449 |
| Fruits          | 11              | 1995            |     0.103795506 |
| Eggs            | 11              | 1992            |      0.02983683 |
| Fruits          | 4               | 1994            |      0.18050154 |
| Milk            | 12              | 1996            |       0.4114522 |
| Eggs            | 1               | 1995            |      0.52463865 |
| Coke            | 1               | 1996            |       0.8156968 |
| Fruits          | 12              | 1995            |      0.11990705 |
| Butter          | 12              | 1990            |      0.11765917 |
| Coke            | 11              | 1993            |    0.0046565104 |
| Yogurt          | 6               | 1991            |       0.4075541 |
| Fruits          | 3               | 1994            |       0.1318895 |
| Eggs            | 7               | 1994            |     0.051299687 |
| Coke            | 5               | 1998            |     0.104385495 |
| Milk            | 1               | 1997            |       0.5957364 |
| Milk            | 12              | 1997            |      0.15130638 |
| Pepsi           | 11              | 1998            |      0.18242101 |
| Butter          | 7               | 1997            |      0.41472328 |
| Soap            | 6               | 1997            |      0.12079275 |
| Milk            | 10              | 1991            |       0.1600511 |
| Butter          | 11              | 1994            |      0.19421825 |
| Bread           | 9               | 1998            |     0.078101285 |
| Soap            | 1               | 1993            |       0.5104295 |
| Pepsi           | 6               | 1998            |      0.09517618 |
| Yogurt          | 8               | 1996            |      0.10349816 |
| Yogurt          | 1               | 1998            |      0.25603634 |
| Butter          | 12              | 1997            |       0.3244492 |
| Pepsi           | 12              | 1992            |      0.21702157 |
| Fruits          | 1               | 1994            |      0.20155558 |
| Yogurt          | 8               | 1990            |     0.039261296 |
| Eggs            | 2               | 1996            |      0.27307326 |
| Yogurt          | 12              | 1996            |      0.10297212 |
| Soap            | 11              | 1993            |      0.22017266 |
| Eggs            | 11              | 1997            |      0.18067957 |
| Milk            | 4               | 1994            |      0.19021739 |
| Yogurt          | 3               | 1998            |      0.19842218 |
| Coke            | 4               | 1992            |      0.25057557 |
| Cookies         | 2               | 1997            |       0.2081772 |
| Milk            | 12              | 1994            |       0.8097826 |
| Pepsi           | 7               | 1990            |     0.022871045 |
| Yogurt          | 5               | 1998            |      0.54554147 |
| Eggs            | 6               | 1994            |      0.11584969 |
| Pepsi           | 8               | 1991            |     0.014593541 |
| Butter          | 10              | 1997            |      0.01676518 |
| Pepsi           | 3               | 1995            |       0.1772302 |
| Pepsi           | 4               | 1992            |     0.050377578 |
| Yogurt          | 9               | 1997            |      0.08206119 |
| Milk            | 9               | 1992            |      0.35158074 |
| Coke            | 6               | 1997            |      0.15548281 |
| Coke            | 6               | 1993            |     0.008163265 |
| Fruits          | 12              | 1994            |     0.017969692 |
| Eggs            | 5               | 1995            |      0.47536132 |
| Butter          | 4               | 1994            |       0.4364142 |
| Butter          | 9               | 1990            |      0.05509056 |
| Milk            | 4               | 1990            |       0.1662933 |
| Yogurt          | 5               | 1992            |             1.0 |
| Yogurt          | 8               | 1994            |      0.38422287 |
| Cookies         | 10              | 1992            |      0.19918062 |
| Soap            | 4               | 1997            |      0.08169298 |
| Bread           | 3               | 1996            |       0.3950823 |
| Coke            | 2               | 1991            |       0.3828448 |
| Eggs            | 1               | 1990            |     0.069310024 |
| Fruits          | 7               | 1992            |      0.09885345 |
| Bread           | 4               | 1996            |      0.28120443 |
| Coke            | 5               | 1994            |      0.17111664 |
| Pepsi           | 4               | 1996            |      0.15348542 |
| Bread           | 10              | 1992            |       0.1270515 |
| Eggs            | 11              | 1994            |      0.41959307 |
| Milk            | 7               | 1995            |       0.2616791 |
| Cookies         | 2               | 1998            |      0.43216854 |
| Pepsi           | 7               | 1998            |      0.25607854 |
| Eggs            | 5               | 1997            |      0.13000116 |
| Bread           | 7               | 1996            |      0.17722443 |
| Butter          | 8               | 1991            |     0.014296992 |
| Coke            | 5               | 1997            |      0.16477671 |
| Milk            | 4               | 1998            |      0.14154716 |
| Cookies         | 9               | 1995            |      0.36065766 |
| Fruits          | 11              | 1994            |      0.31768808 |
| Cookies         | 10              | 1990            |      0.49798578 |
| Fruits          | 11              | 1991            |       0.4496096 |
| Soap            | 8               | 1990            |      0.37999743 |
| Bread           | 8               | 1990            |      0.33913687 |
| Fruits          | 12              | 1998            |       0.4135433 |
| Yogurt          | 3               | 1997            |      0.27173033 |
| Soap            | 2               | 1995            |     0.038905665 |
| Coke            | 8               | 1994            |      0.33001837 |
| Pepsi           | 4               | 1993            |     0.013392484 |
| Butter          | 2               | 1991            |        0.247873 |
| Soap            | 7               | 1992            |     0.028711328 |
| Milk            | 3               | 1995            |      0.21714334 |
| Soap            | 4               | 1993            |      0.26564428 |
| Eggs            | 6               | 1990            |      0.29316267 |
| Coke            | 1               | 1998            |     0.037928637 |
| Cookies         | 1               | 1991            |      0.47417596 |
| Cookies         | 10              | 1991            |      0.17739424 |
| Yogurt          | 12              | 1995            |     0.069979526 |
| Bread           | 1               | 1993            |      0.29322416 |
| Coke            | 12              | 1997            |      0.39350012 |
| Fruits          | 5               | 1992            |       0.3266206 |
| Fruits          | 1               | 1992            |      0.10054388 |
| Cookies         | 6               | 1993            |      0.25268614 |
| Eggs            | 9               | 1996            |      0.17630269 |
| Butter          | 2               | 1996            |     0.048853077 |
| Pepsi           | 6               | 1993            |      0.11450573 |
| Pepsi           | 6               | 1992            |      0.13388667 |
| Coke            | 11              | 1998            |      0.07835043 |
| Fruits          | 8               | 1991            |     0.002882883 |
| Fruits          | 4               | 1995            |     0.079395816 |
| Butter          | 2               | 1995            |      0.53255135 |
| Coke            | 2               | 1997            |     0.121872805 |
| Cookies         | 11              | 1998            |     0.029633436 |
| Cookies         | 10              | 1997            |     0.010991756 |
| Bread           | 9               | 1997            |       0.2008376 |
| Bread           | 4               | 1995            |      0.35231486 |
| Coke            | 8               | 1997            |      0.16436754 |
| Cookies         | 5               | 1991            |       0.3484298 |
| Pepsi           | 8               | 1994            |      0.07738243 |
| Soap            | 9               | 1992            |      0.02003116 |
| Soap            | 9               | 1997            |      0.41612363 |
| Soap            | 1               | 1991            |      0.08220409 |
| Eggs            | 4               | 1993            |       0.3634074 |
| Milk            | 4               | 1996            |      0.10555193 |
| Pepsi           | 12              | 1997            |      0.41288432 |
| Butter          | 10              | 1998            |      0.16662772 |
| Soap            | 8               | 1991            |       0.2920566 |
| Coke            | 2               | 1994            |      0.14063345 |
| Bread           | 3               | 1997            |      0.14023526 |
| Yogurt          | 10              | 1997            |       0.2097327 |
| Bread           | 5               | 1991            |     0.026593305 |
| Butter          | 11              | 1991            |      0.11902465 |
| Coke            | 9               | 1990            |      0.19490126 |
| Milk            | 3               | 1993            |     0.086693965 |
| Yogurt          | 10              | 1996            |       0.3283798 |
| Milk            | 7               | 1998            |    0.0011299435 |
| Pepsi           | 9               | 1998            |      0.15592901 |
| Bread           | 6               | 1998            |      0.26673105 |
| Bread           | 6               | 1997            |       0.1962801 |
| Bread           | 6               | 1990            |     0.036766067 |
| Pepsi           | 10              | 1993            |      0.34611198 |
| Bread           | 3               | 1998            |       0.2010947 |
| Pepsi           | 6               | 1991            |       0.2861809 |
| Fruits          | 1               | 1995            |     0.060934678 |
| Bread           | 12              | 1994            |      0.40242592 |
| Bread           | 8               | 1994            |      0.41034922 |
| Eggs            | 12              | 1993            |      0.10042183 |
| Coke            | 4               | 1993            |      0.15412475 |
| Butter          | 7               | 1994            |     0.079668835 |
| Eggs            | 10              | 1991            |       0.2687607 |
| Bread           | 4               | 1998            |      0.09820156 |
| Coke            | 5               | 1996            |      0.18430321 |
| Fruits          | 7               | 1997            |      0.29175973 |
| Butter          | 12              | 1992            |       0.2881158 |
| Pepsi           | 5               | 1995            |      0.30573925 |
| Soap            | 1               | 1996            |       0.5223178 |
| Fruits          | 7               | 1994            |       0.1503956 |
| Coke            | 6               | 1998            |      0.12939878 |
| Cookies         | 2               | 1990            |       0.5020142 |
| Fruits          | 2               | 1991            |     0.093213215 |
| Cookies         | 5               | 1994            |      0.03711576 |
| Bread           | 6               | 1995            |      0.15237795 |
| Pepsi           | 3               | 1994            |      0.28184873 |
| Butter          | 9               | 1996            |      0.35518292 |
| Soap            | 8               | 1995            |      0.35062474 |
| Milk            | 1               | 1996            |      0.08007838 |
| Fruits          | 7               | 1998            |      0.11149606 |
| Bread           | 2               | 1990            |      0.44248936 |
| Fruits          | 5               | 1990            |      0.20865154 |
| Soap            | 3               | 1992            |      0.22212331 |
| Pepsi           | 5               | 1992            |      0.11796721 |
| Cookies         | 4               | 1995            |      0.21699788 |
| Fruits          | 9               | 1995            |      0.09811515 |
| Pepsi           | 9               | 1990            |       0.4948905 |
| Coke            | 1               | 1995            |      0.32337904 |
| Fruits          | 2               | 1993            |      0.23612864 |
| Bread           | 9               | 1991            |      0.43661165 |
| Coke            | 12              | 1993            |      0.12486347 |
| Cookies         | 12              | 1997            |      0.41094178 |
| Pepsi           | 1               | 1990            |      0.12798053 |
| Soap            | 7               | 1997            |     0.041854214 |
| Coke            | 7               | 1993            |      0.17579764 |
| Milk            | 2               | 1992            |      0.11945682 |
| Eggs            | 10              | 1994            |       0.2332561 |
| Fruits          | 6               | 1991            |    0.0031231232 |
| Pepsi           | 5               | 1993            |      0.21679083 |
| Eggs            | 1               | 1994            |      0.18000145 |
| Butter          | 6               | 1998            |      0.38139752 |
| Yogurt          | 7               | 1993            |      0.22287755 |
| Bread           | 2               | 1994            |      0.18722488 |
| Coke            | 2               | 1998            |      0.12800916 |
| Coke            | 8               | 1992            |      0.27247837 |
| Butter          | 2               | 1990            |     0.070321076 |
| Coke            | 10              | 1990            |      0.33551168 |
| Cookies         | 11              | 1992            |      0.16235182 |
| Coke            | 7               | 1990            |       0.1724237 |
| Eggs            | 5               | 1998            |      0.32861358 |
| Coke            | 8               | 1993            |     0.016039092 |
| Butter          | 6               | 1991            |      0.43583897 |
| Fruits          | 11              | 1992            |      0.12626782 |
| Eggs            | 4               | 1990            |        0.298158 |
| Milk            | 5               | 1997            |       0.2365787 |
| Milk            | 8               | 1995            |      0.17814308 |
| Eggs            | 10              | 1992            |      0.97016317 |
| Butter          | 2               | 1994            |     0.101180784 |
| Milk            | 1               | 1995            |     0.073723055 |
| Bread           | 5               | 1993            |      0.48395193 |
| Fruits          | 3               | 1998            |      0.15422572 |
| Butter          | 10              | 1990            |      0.29356477 |
| Fruits          | 10              | 1996            |      0.06117586 |
| Cookies         | 10              | 1994            |      0.17609549 |
| Cookies         | 3               | 1992            |     0.021269178 |
| Eggs            | 4               | 1997            |      0.14391743 |
| Cookies         | 7               | 1994            |      0.20904186 |
| Butter          | 3               | 1994            |     0.035016287 |
| Bread           | 12              | 1998            |     0.050871626 |
| Pepsi           | 10              | 1991            |      0.15847427 |
| Eggs            | 7               | 1990            |      0.12686023 |
| Eggs            | 8               | 1997            |      0.18377209 |
| Eggs            | 12              | 1998            |      0.38702065 |
| Cookies         | 12              | 1996            |       0.2132955 |
| Yogurt          | 5               | 1995            |      0.07978162 |
| Butter          | 11              | 1990            |     0.020993413 |
| Bread           | 5               | 1998            |      0.22542661 |
| Bread           | 4               | 1992            |      0.23839842 |
| Yogurt          | 3               | 1991            |      0.11484809 |
| Eggs            | 10              | 1993            |      0.06579362 |
| Soap            | 11              | 1991            |      0.06925208 |
| Coke            | 10              | 1995            |      0.28454983 |
| Fruits          | 8               | 1992            |      0.34771425 |
| Butter          | 9               | 1998            |      0.21722364 |
| Butter          | 7               | 1993            |       0.7751332 |
| Milk            | 2               | 1998            |      0.14923947 |
| Butter          | 6               | 1994            |      0.06446797 |
| Coke            | 6               | 1994            |      0.35823154 |
| Pepsi           | 1               | 1998            |      0.14341438 |
| Cookies         | 9               | 1992            |     0.109135285 |
| Fruits          | 4               | 1998            |      0.32073492 |
